Qty;Value;Device;Package;Parts;Description
1;;USB_C16PIN;USB-C-16P;J1;USB Type C 16Pin Connector
1;0.4R;R-EU_R0805;R0805;R17;RESISTOR, European symbol
2;100nF;C-EUC0603;C0603;C3, C6;CAPACITOR, European symbol
9;10K;R-EU_R0603;R0603;R3, R5, R7, R8, R9, R10, R11, R12, R27;RESISTOR, European symbol
2;10k;R-EU_R0603;R0603;R14, R23;RESISTOR, European symbol
2;10uF;C-EUC0805;C0805;C1, C2;CAPACITOR, European symbol
4;10R;R-EU_R0603;R0603;R2, R4, R6, R26;RESISTOR, European symbol
1;16Mhz;XTAL-4-3225;NX3225;Q2;Classic 4-pin 3.2 x 2.5mm crystal
4;1k;R-EU_R0603;R0603;R16, R18, R19, R20;RESISTOR, European symbol
2;1nF;C-EUC0603;C0603;C13, C14;CAPACITOR, European symbol
6;1uF;C-EUC0603;C0603;C4, C5, C7, C10, C11, C12;CAPACITOR, European symbol
2;22R;R-EU_R0603;R0603;R24, R25;RESISTOR, European symbol
2;22pf;C-EUC0603;C0603;C8, C9;CAPACITOR, European symbol
2;22R;R-EU_R0603;R0603;R29, R30;RESISTOR, European symbol
1;2k7;R-EU_R0603;R0603;R1;RESISTOR, European symbol
1;32U4;ATMEGA32U4TQFP-44;TQFP44;U2;Atmel MCU, 32KByte
1;39R;R-EU_R0603;R0603;R28;RESISTOR, European symbol
2;5K1;R-EU_R0603;R0603;R21, R22;RESISTOR, European symbol
2;5M;R-EU_R0603;R0603;R13, R15;RESISTOR, European symbol
2;AP7313;AP7313_LINEAR_PWR_REG;SOT23R;IC2, IC3;3.3V Voltage Reference 50ppm/°C, SOT23, 3-Terminal
1;ATMEGA328P_TQFP;ATMEGA328P_TQFP;TQFP32-08;U1;Popular 328P in QFP
1;JST;JST_PH2.0_BAT_CON;JST_PH_2.0_2PIN_CONNECTOR;CON1;
8;LL4148 ;DSOD323;SOD323;D1, D2, D3, D4, D5, D6, D7, D8;DIODE
2;NRF24;NRF24;NRF24L01_SMT;U$1, U$9;SMD version of NRF24L01 wireless transceiver module. Made by Gyro: https://www.youtube.com/c/gyro1
4;NX7002AK;MOSFET-NREFLOW;SOT23;Q1, Q3, Q4, Q5;N-Channel Mosfet
2;OSHW-LOGOS;OSHW-LOGOS;OSHW-LOGO-S;LOGO1, LOGO2;Open-Source Hardware (OSHW) Logo
6;RGB_LED;RGB_LED;1.6X1.6_RGB_LED;LED1, LED3, LED5, LED7, LED9, LED13;
1;SIQ-ROTARY_ENCODER;SIQ-ROTARY_ENCODER;SIQ-02FVS3;SW1;
5;TAC_SWITCHSMD;TAC_SWITCHSMD;TACTILE-SWITCH-SMD;S1, S2, S3, S4, S5;Momentary Switch
1;TP4056;TP4056;SOP-8;IC1;
1;USB-A;USB-A;USB-A-SMT-MALE;U$8;
